epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,843.566,2.03653,5.74943,2.46283,0.28078,0.34654,0.19208,0.0552,2.65628,6.95304,2.82667,9.97455e-05,9.97455e-05,0.0801506
2,1582.34,1.88536,5.0271,2.33897,0.25547,0.33657,0.28532,0.10579,2.27741,5.01593,2.55627,0.000199724,0.000199724,0.0602506
3,1906.79,1.85854,4.8798,2.333,0.37068,0.3314,0.30413,0.10661,2.35918,4.99937,2.61488,0.000299615,0.000299615,0.0403505
4,2117.29,1.834,4.81679,2.29674,0.54111,0.31208,0.33945,0.1277,2.22802,4.85928,2.58499,0.000399355,0.000399355,0.0204502
5,2314.46,1.79464,4.7039,2.25554,0.38085,0.45129,0.38863,0.14632,2.17843,4.67523,2.43375,0.000498878,0.000498878,0.000549769
6,2576.32,1.75444,4.46406,2.21121,0.5111,0.43315,0.4154,0.16071,2.16342,4.33248,2.44171,0.000498644,0.000498644,0.000498644
7,2920.34,1.74215,4.46787,2.19742,0.41284,0.43717,0.38985,0.14645,2.16199,4.53204,2.42048,0.000498048,0.000498048,0.000498048
8,3093.69,1.72422,4.2694,2.16647,0.48806,0.44541,0.42966,0.16473,2.17127,4.12527,2.44863,0.000497345,0.000497345,0.000497345
9,3269.05,1.69628,4.17679,2.11852,0.48391,0.4787,0.4667,0.18658,2.07876,4.04164,2.31713,0.000496534,0.000496534,0.000496534
10,3444.55,1.69972,4.11883,2.12666,0.47843,0.51591,0.49028,0.20944,2.00684,3.72614,2.26478,0.000495616,0.000495616,0.000495616
11,3619.59,1.68234,4.01483,2.12586,0.57008,0.4616,0.47715,0.19594,1.99778,3.95887,2.3248,0.000494592,0.000494592,0.000494592
12,3793.98,1.66606,3.94848,2.1006,0.4962,0.45545,0.45503,0.18975,2.08816,3.88147,2.41169,0.000493461,0.000493461,0.000493461
13,3968.61,1.64516,3.86538,2.08352,0.56033,0.50769,0.54253,0.24287,1.93144,3.5611,2.22785,0.000492224,0.000492224,0.000492224
14,4143.86,1.63556,3.87501,2.08269,0.55711,0.52279,0.50374,0.21117,2.02998,3.777,2.31878,0.000490883,0.000490883,0.000490883
15,4401.58,1.64589,3.79283,2.0794,0.50558,0.46859,0.45458,0.17985,2.12255,3.88483,2.43499,0.000489437,0.000489437,0.000489437
16,4741.37,1.62745,3.76183,2.05399,0.59844,0.43938,0.50009,0.21385,2.02456,3.74309,2.32731,0.000487886,0.000487886,0.000487886
17,4914.77,1.62252,3.6646,2.05947,0.60038,0.52351,0.56354,0.24568,1.93621,3.57419,2.25001,0.000486233,0.000486233,0.000486233
18,5089.99,1.61386,3.69425,2.04315,0.56804,0.5256,0.54734,0.23503,1.99152,3.51465,2.26525,0.000484477,0.000484477,0.000484477
19,5264.46,1.60894,3.6199,2.03742,0.52611,0.52823,0.52553,0.21522,1.96065,3.71301,2.28108,0.00048262,0.00048262,0.00048262
