epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.948,2.00956,5.85309,2.4536,0.42192,0.2614,0.20829,0.06398,2.52952,6.38719,2.8177,9.97758e-05,9.97758e-05,0.0801446
2,423.324,1.91514,5.09371,2.36423,0.34587,0.33401,0.2739,0.10234,2.42294,5.65534,2.58348,0.000199764,0.000199764,0.0602446
3,624.154,1.87768,4.95793,2.3182,0.59649,0.26887,0.27219,0.08697,2.48741,5.11542,2.66452,0.000299703,0.000299703,0.0403445
4,823.454,1.85586,4.86231,2.28904,0.40576,0.42923,0.37584,0.1437,2.19252,4.51126,2.4459,0.000399556,0.000399556,0.0204444
5,1022.51,1.81932,4.68819,2.26443,0.53299,0.34382,0.31928,0.11915,2.36534,5.0359,2.56904,0.000499288,0.000499288,0.000544131
6,1220.9,1.77009,4.52281,2.21767,0.48657,0.34797,0.33326,0.12793,2.22746,4.76422,2.46708,0.000499237,0.000499237,0.000499237
7,1418.94,1.77126,4.50651,2.21365,0.46552,0.42195,0.41185,0.15063,2.2043,4.30444,2.43959,0.000498902,0.000498902,0.000498902
8,1618.19,1.73687,4.35875,2.17678,0.49205,0.45501,0.44655,0.17358,2.15121,4.03616,2.36041,0.000498505,0.000498505,0.000498505
9,1816.27,1.73487,4.23729,2.16674,0.44983,0.42837,0.40948,0.16304,2.13425,4.404,2.39458,0.000498048,0.000498048,0.000498048
10,2072.71,1.70456,4.2081,2.14266,0.47258,0.45761,0.43115,0.17055,2.09014,4.34327,2.33263,0.000497531,0.000497531,0.000497531
11,2272.03,1.69963,4.0541,2.12833,0.44362,0.4285,0.40467,0.15845,2.21779,4.05617,2.47552,0.000496953,0.000496953,0.000496953
12,2470.12,1.68637,4.12445,2.13799,0.45592,0.48386,0.47865,0.18417,2.1106,3.98306,2.36088,0.000496315,0.000496315,0.000496315
13,2669.21,1.67533,3.95643,2.09564,0.5758,0.525,0.50852,0.20566,2.07403,3.77017,2.31172,0.000495616,0.000495616,0.000495616
14,2868.18,1.65756,3.92914,2.09119,0.57064,0.48037,0.48801,0.20008,2.0537,3.79138,2.26719,0.000494858,0.000494858,0.000494858
15,3065.86,1.64496,3.83981,2.07541,0.50246,0.47319,0.47049,0.20134,2.04672,3.86107,2.30952,0.000494039,0.000494039,0.000494039
16,3263.98,1.63489,3.86121,2.06953,0.50474,0.48825,0.50411,0.20206,2.11279,3.66562,2.38325,0.000493162,0.000493162,0.000493162
17,3462.08,1.64652,3.85253,2.07917,0.53898,0.56656,0.56146,0.23429,1.97207,3.54799,2.22984,0.000492224,0.000492224,0.000492224
18,3661.83,1.63765,3.72424,2.06057,0.51852,0.48984,0.5061,0.20062,2.10424,3.6599,2.40932,0.000491228,0.000491228,0.000491228
19,3859.5,1.62344,3.66208,2.04804,0.47444,0.49671,0.46656,0.1813,2.14095,3.90256,2.39913,0.000490173,0.000490173,0.000490173
20,4058.48,1.63765,3.67825,2.05596,0.55689,0.48396,0.51251,0.20188,2.04889,3.85169,2.30861,0.000489059,0.000489059,0.000489059
21,4256.47,1.60378,3.60199,2.02513,0.53284,0.47785,0.50201,0.19783,2.13936,3.74936,2.35705,0.000487886,0.000487886,0.000487886
22,4454.89,1.5837,3.55696,2.03182,0.55642,0.50776,0.53646,0.21797,2.03826,3.60846,2.31447,0.000486656,0.000486656,0.000486656
23,4652.64,1.59653,3.56506,2.02417,0.5472,0.47948,0.52099,0.22419,1.95378,3.65725,2.24525,0.000485368,0.000485368,0.000485368
24,4850.68,1.60356,3.58943,2.03155,0.60899,0.52813,0.57647,0.25237,1.90973,3.52546,2.2179,0.000484022,0.000484022,0.000484022
25,5049.37,1.60001,3.58708,2.02966,0.62186,0.53238,0.57098,0.24386,1.94769,3.502,2.25678,0.00048262,0.00048262,0.00048262
26,5247.43,1.57729,3.54081,2.01691,0.54692,0.495,0.52581,0.21574,2.02007,3.57796,2.29235,0.00048116,0.00048116,0.00048116
27,5445.69,1.58119,3.48834,2.00922,0.67245,0.5521,0.6063,0.25774,1.98507,3.23422,2.29341,0.000479644,0.000479644,0.000479644
28,5644.53,1.57781,3.48921,2.01403,0.63266,0.52554,0.5882,0.26832,1.89083,3.31301,2.20106,0.000478072,0.000478072,0.000478072
