epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6234,1.94135,2.65153,2.13415,0.31997,0.19434,0.10436,0.03199,2.84055,4.67017,3.02517,0.000330864,0.000330864,0.0672444
2,134.861,1.91198,2.40422,2.1037,0.24861,0.13943,0.05511,0.01501,3.13392,4.99752,3.84884,0.000664132,0.000664132,0.0342444
3,193.708,1.8867,2.37634,2.06126,0.42801,0.30751,0.08574,0.02713,2.70458,4.9259,2.79649,0.000997137,0.000997137,0.00124405
4,251.758,1.83538,2.25815,2.0343,0.48653,0.23273,0.12804,0.03574,2.85182,5.20343,2.94325,0.000999112,0.000999112,0.000999112
5,312.069,1.78796,2.20449,1.98821,0.47614,0.30208,0.31406,0.12024,2.19151,2.82669,2.34373,0.000998422,0.000998422,0.000998422
6,372.008,1.75237,2.1796,1.98817,0.41018,0.26105,0.2142,0.08324,2.30732,3.08975,2.35818,0.000997535,0.000997535,0.000997535
7,431.609,1.71711,2.11462,1.92494,0.46931,0.40687,0.31268,0.10975,2.241,2.43266,2.33502,0.000996452,0.000996452,0.000996452
8,573.452,1.72861,2.12208,1.94682,0.4438,0.40747,0.351,0.13414,2.20422,2.25014,2.28825,0.000995173,0.000995173,0.000995173
9,634.771,1.71182,2.05816,1.91305,0.50436,0.38632,0.34451,0.12691,2.13327,2.50144,2.16126,0.000993698,0.000993698,0.000993698
10,787.373,1.68849,2.05574,1.91099,0.57011,0.36228,0.40722,0.16393,2.06027,2.26342,2.13423,0.000992029,0.000992029,0.000992029
11,889.395,1.69411,2.00946,1.90588,0.50404,0.36926,0.31724,0.11898,2.13514,2.3621,2.28788,0.000990166,0.000990166,0.000990166
12,995.375,1.692,2.02988,1.91267,0.51612,0.38733,0.36902,0.13358,2.18057,2.34396,2.24289,0.000988111,0.000988111,0.000988111
13,1054.44,1.67516,1.94994,1.91015,0.3935,0.37674,0.3276,0.11881,2.36837,2.47553,2.49037,0.000985862,0.000985862,0.000985862
14,1113.85,1.66149,1.92621,1.8879,0.44735,0.44452,0.39777,0.15279,2.09004,2.34166,2.20287,0.000983423,0.000983423,0.000983423
15,1174.01,1.65081,1.92301,1.86903,0.5908,0.42915,0.45473,0.18091,2.03144,1.99464,2.14114,0.000980794,0.000980794,0.000980794
16,1233.01,1.63939,1.87901,1.87878,0.43735,0.47713,0.4145,0.165,2.0754,2.18321,2.22235,0.000977975,0.000977975,0.000977975
17,1292.14,1.63511,1.8855,1.87003,0.60368,0.44455,0.45887,0.19132,1.94517,2.1592,2.05975,0.000974969,0.000974969,0.000974969
18,1351.69,1.64121,1.87565,1.86659,0.53732,0.39948,0.3727,0.1499,2.09638,2.25075,2.19433,0.000971777,0.000971777,0.000971777
19,1410.01,1.64139,1.86749,1.85846,0.60489,0.45872,0.46887,0.19424,1.98373,1.99939,2.07879,0.000968399,0.000968399,0.000968399
20,1469.24,1.62373,1.86186,1.84424,0.43996,0.45368,0.42495,0.16478,2.19272,2.12969,2.24879,0.000964838,0.000964838,0.000964838
21,1527.3,1.6176,1.84784,1.85943,0.61428,0.437,0.4468,0.19346,2.00295,2.09631,2.14789,0.000961095,0.000961095,0.000961095
22,1587.54,1.60389,1.80511,1.8403,0.63268,0.45516,0.47117,0.20033,2.02351,1.95318,2.16038,0.000957172,0.000957172,0.000957172
23,1646.6,1.60565,1.81303,1.84025,0.45344,0.45657,0.48013,0.19788,2.00767,1.94671,2.12826,0.00095307,0.00095307,0.00095307
24,1705.64,1.59763,1.8079,1.83663,0.67594,0.43741,0.48465,0.20172,2.05516,1.9418,2.15357,0.000948792,0.000948792,0.000948792
25,1765.97,1.59515,1.8098,1.83227,0.63102,0.4045,0.44365,0.19229,1.97423,2.07753,2.07264,0.000944338,0.000944338,0.000944338
26,1823.05,1.61089,1.80101,1.83462,0.48955,0.47045,0.48284,0.2022,2.01806,1.9261,2.15521,0.000939711,0.000939711,0.000939711
27,1881.17,1.58907,1.81979,1.82371,0.41626,0.45514,0.48194,0.21254,1.93899,1.92246,2.06149,0.000934914,0.000934914,0.000934914
28,1938.67,1.57284,1.7701,1.81453,0.51676,0.53369,0.51676,0.21646,1.97984,1.83493,2.06711,0.000929948,0.000929948,0.000929948
29,1996.17,1.58632,1.76924,1.82445,0.39399,0.43864,0.38841,0.16218,2.01476,2.27617,2.1878,0.000924815,0.000924815,0.000924815
30,2052.96,1.58403,1.79378,1.81747,0.49893,0.45306,0.45902,0.1926,1.98771,1.98402,2.14741,0.000919517,0.000919517,0.000919517
31,2109.67,1.58183,1.78582,1.82447,0.46989,0.50437,0.51031,0.22012,2.01278,1.92491,2.14855,0.000914058,0.000914058,0.000914058
32,2167.21,1.56646,1.74931,1.80413,0.59721,0.42807,0.44835,0.18894,2.01167,2.14824,2.09986,0.000908438,0.000908438,0.000908438
