epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.813,1.89581,2.56776,2.11046,0.27764,0.20273,0.14887,0.04301,2.55821,4.05797,2.95321,0.00033209,0.00033209,0.0671231
2,237.003,1.85847,2.34423,2.06638,0.38799,0.32253,0.20403,0.06404,2.40038,2.79024,2.55102,0.000665275,0.000665275,0.034123
3,345.702,1.78985,2.27364,2.01623,0.61909,0.09568,0.0762,0.0259,2.76418,5.0912,2.87126,0.000997869,0.000997869,0.00112225
4,453.312,1.7662,2.24352,1.98706,0.77147,0.23018,0.31086,0.11464,2.24434,2.53534,2.28163,0.000998003,0.000998003,0.000998003
5,561.877,1.73074,2.16648,1.95918,0.54509,0.37253,0.37835,0.12597,2.15104,2.19662,2.2753,0.000996452,0.000996452,0.000996452
6,670.181,1.68962,2.08635,1.91527,0.39931,0.46389,0.3886,0.14973,2.02972,2.17184,2.09864,0.00099446,0.00099446,0.00099446
7,778.844,1.66578,1.99969,1.88726,0.64461,0.43937,0.50342,0.20141,1.95446,1.84012,2.06221,0.000992029,0.000992029,0.000992029
8,898.659,1.63373,1.93633,1.86314,0.39224,0.47578,0.44739,0.18487,2.03716,2.13346,2.14609,0.000989163,0.000989163,0.000989163
9,1136.61,1.6209,1.90593,1.84036,0.36647,0.4201,0.40178,0.14869,2.13285,2.21017,2.23426,0.000985862,0.000985862,0.000985862
10,1330.79,1.58694,1.86671,1.83287,0.74077,0.46988,0.58108,0.25689,1.90469,1.77693,2.06821,0.000982132,0.000982132,0.000982132
11,1439.06,1.60592,1.87333,1.83754,0.70526,0.37875,0.51216,0.21896,1.96942,1.98264,2.13283,0.000977975,0.000977975,0.000977975
12,1548.34,1.58666,1.84112,1.81503,0.41507,0.42405,0.43042,0.17051,2.06692,1.94413,2.14511,0.000973396,0.000973396,0.000973396
13,1655.95,1.58249,1.83587,1.81042,0.55026,0.56462,0.58565,0.24642,1.94686,1.79396,2.07404,0.000968399,0.000968399,0.000968399
14,1762.32,1.56376,1.79293,1.8008,0.40907,0.48574,0.45365,0.17658,2.04525,1.98999,2.18717,0.00096299,0.00096299,0.00096299
15,1884.61,1.55643,1.76587,1.78499,0.45355,0.41433,0.42813,0.17498,2.18007,1.98634,2.23439,0.000957172,0.000957172,0.000957172
16,1993.27,1.54217,1.75853,1.7875,0.39227,0.43033,0.37558,0.1321,2.27068,2.06462,2.31963,0.000950953,0.000950953,0.000950953
17,2110.43,1.53654,1.71854,1.77326,0.53607,0.5022,0.57064,0.22372,1.91284,1.7927,2.0495,0.000944338,0.000944338,0.000944338
18,2218.06,1.53321,1.74984,1.78321,0.65568,0.43457,0.49706,0.22523,1.91629,1.90929,2.03859,0.000937334,0.000937334,0.000937334
19,2325.49,1.54142,1.74541,1.77891,0.40876,0.43605,0.44234,0.17707,2.05254,2.18655,2.21162,0.000929948,0.000929948,0.000929948
20,2433.37,1.51043,1.68273,1.75402,0.54084,0.55672,0.58798,0.24745,1.89086,1.65113,2.00827,0.000922186,0.000922186,0.000922186
21,2540.58,1.51811,1.68221,1.76103,0.59818,0.57598,0.62195,0.2869,1.74446,1.62439,1.93406,0.000914058,0.000914058,0.000914058
22,2649.05,1.51649,1.69636,1.75453,0.63972,0.39193,0.44726,0.17411,2.0621,2.05015,2.15692,0.00090557,0.00090557,0.00090557
23,2838.34,1.52309,1.69718,1.76849,0.35585,0.45996,0.40524,0.1534,2.25325,2.15047,2.31355,0.000896731,0.000896731,0.000896731
24,3073.86,1.50973,1.66501,1.75168,0.41651,0.46738,0.45762,0.19046,1.99029,1.96633,2.12881,0.00088755,0.00088755,0.00088755
