epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.734,1.41512,1.78162,1.48984,0.9718,0.57248,0.6683,0.57858,1.26115,1.23762,0.65206,0.0670082,0.000333251,0.000333251
2,876.782,1.28112,1.4642,1.38733,0.90004,0.56678,0.68497,0.60681,1.09243,1.01689,0.65866,0.0340016,0.000659985,0.000659985
3,1297.01,1.19422,1.34305,1.33083,0.95849,0.56744,0.70445,0.62169,1.12306,1.00288,0.62462,0.00098839,0.000980119,0.000980119
4,1740.81,1.15432,1.24244,1.30351,0.99266,0.57542,0.69205,0.62081,1.12462,0.8299,0.58918,0.0009703,0.0009703,0.0009703
5,2171.54,1.09576,1.14416,1.27267,0.94545,0.57342,0.68266,0.60278,1.07475,0.971,0.64224,0.0009604,0.0009604,0.0009604
6,2587.91,1.04532,1.10063,1.24106,0.90716,0.47774,0.63429,0.55029,1.10377,1.01051,0.63681,0.0009505,0.0009505,0.0009505
7,3024.76,1.02785,1.07218,1.23166,0.9269,0.60661,0.73724,0.6101,1.2825,0.93716,0.61978,0.0009406,0.0009406,0.0009406
8,3463.17,1.0042,1.058,1.22409,0.978,0.56114,0.67068,0.59759,0.74256,0.84486,0.55289,0.0009307,0.0009307,0.0009307
9,3916.96,0.97747,1.00329,1.21072,0.99545,0.57608,0.72172,0.63822,1.0619,0.87103,0.58755,0.0009208,0.0009208,0.0009208
10,4354.67,0.96123,0.99176,1.19955,0.9897,0.57449,0.71312,0.63532,0.92628,0.90956,0.56752,0.0009109,0.0009109,0.0009109
11,4793.18,0.94682,0.95648,1.18556,0.91077,0.57276,0.72474,0.62465,0.77222,0.80541,0.56025,0.000901,0.000901,0.000901
12,5245.64,0.93483,0.94519,1.17958,0.9953,0.57674,0.71714,0.62847,0.76435,0.78041,0.54949,0.0008911,0.0008911,0.0008911
13,5679.8,0.90687,0.92712,1.16547,0.96547,0.57076,0.67423,0.61312,0.73059,0.90216,0.53278,0.0008812,0.0008812,0.0008812
14,6097.34,0.90489,0.9288,1.16775,0.99184,0.57674,0.70463,0.63062,0.73773,0.87346,0.5398,0.0008713,0.0008713,0.0008713
15,6529.18,0.89505,0.9078,1.1624,0.90121,0.54551,0.68935,0.60456,0.8356,0.79065,0.53983,0.0008614,0.0008614,0.0008614
16,6968.66,0.8752,0.86946,1.14962,0.99562,0.57674,0.75694,0.65303,0.70772,0.75135,0.5103,0.0008515,0.0008515,0.0008515
