epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2308.01,2.00148,3.00391,2.28748,0.17385,0.19185,0.09818,0.03424,1.17004,5.53075,1.16074,0.0670025,0.000333309,0.000333309
2,4867.8,1.85571,2.78537,2.16291,0.17036,0.26555,0.11449,0.04208,1.13534,6.14105,1.15528,0.0339959,0.000660042,0.000660042
3,7282.42,1.80341,2.69038,2.11239,0.19015,0.26854,0.13642,0.04875,1.11434,6.27467,1.16549,0.000982657,0.000980176,0.000980176
4,9593.36,1.76282,2.64909,2.07741,0.18258,0.25795,0.13551,0.05389,1.05371,5.48156,1.08978,0.0009703,0.0009703,0.0009703
5,11897.4,1.72931,2.59235,2.0473,0.21853,0.25749,0.14939,0.05995,1.02129,5.60865,1.06993,0.0009604,0.0009604,0.0009604
6,14232.6,1.70439,2.55582,2.03404,0.19444,0.27061,0.14482,0.05886,1.00724,5.30248,1.06998,0.0009505,0.0009505,0.0009505
7,16422.6,1.67397,2.51235,2.00791,0.21533,0.27631,0.16373,0.06951,1.00029,5.47261,1.08236,0.0009406,0.0009406,0.0009406
8,18310.8,1.66324,2.50413,2.00097,0.21,0.29526,0.16649,0.06958,0.99407,5.8525,1.06246,0.0009307,0.0009307,0.0009307
9,20347.8,1.65891,2.47106,1.99186,0.21267,0.27522,0.16503,0.07148,0.97783,4.8513,1.03955,0.0009208,0.0009208,0.0009208
10,22383.6,1.64463,2.46786,1.98177,0.23231,0.29526,0.18494,0.07882,0.98073,6.02905,1.05189,0.0009109,0.0009109,0.0009109
11,24418.3,1.6219,2.44744,1.96688,0.23262,0.29295,0.18527,0.08094,0.97514,6.11502,1.04559,0.000901,0.000901,0.000901
12,26467,1.61548,2.42621,1.96026,0.22215,0.29065,0.18128,0.08143,0.95534,5.71256,1.0353,0.0008911,0.0008911,0.0008911
13,28462.9,1.60395,2.4163,1.94821,0.23464,0.28627,0.18758,0.08613,0.9263,5.22018,1.00442,0.0008812,0.0008812,0.0008812
14,30435.4,1.60349,2.40311,1.94056,0.23943,0.28766,0.19272,0.08878,0.92791,5.30861,0.99871,0.0008713,0.0008713,0.0008713
15,32436.4,1.59309,2.38715,1.9461,0.23329,0.29065,0.18887,0.08721,0.91252,5.50906,0.99627,0.0008614,0.0008614,0.0008614
16,34394.1,1.59554,2.38128,1.93515,0.23329,0.29387,0.19476,0.08954,0.92761,5.52177,0.9936,0.0008515,0.0008515,0.0008515
17,36441.8,1.58301,2.37324,1.93118,0.24315,0.29618,0.1953,0.09151,0.91725,5.65945,0.99314,0.0008416,0.0008416,0.0008416
18,38544.6,1.57012,2.36039,1.91983,0.23389,0.28996,0.19406,0.09225,0.91507,5.60689,0.99243,0.0008317,0.0008317,0.0008317
19,40602.1,1.57667,2.34237,1.92479,0.23193,0.29526,0.19698,0.09262,0.90733,5.97995,0.99069,0.0008218,0.0008218,0.0008218
20,42659.9,1.55962,2.34255,1.91531,0.23344,0.28904,0.20029,0.09589,0.89879,6.23948,0.98938,0.0008119,0.0008119,0.0008119
21,44718.4,1.55248,2.33703,1.90262,0.23866,0.29618,0.20189,0.09603,0.89989,5.97273,0.99733,0.000802,0.000802,0.000802
22,46772.8,1.54504,2.331,1.90744,0.24376,0.29249,0.20548,0.09934,0.89035,5.93343,0.99253,0.0007921,0.0007921,0.0007921
23,48781.5,1.54528,2.31659,1.90081,0.24351,0.28913,0.20869,0.10184,0.88438,5.87964,0.98324,0.0007822,0.0007822,0.0007822
24,50808.5,1.53344,2.30746,1.89497,0.24299,0.28719,0.20886,0.10214,0.88594,5.85328,0.98149,0.0007723,0.0007723,0.0007723
25,52857.9,1.53287,2.30051,1.89232,0.25256,0.28989,0.21217,0.1036,0.88274,5.84662,0.97916,0.0007624,0.0007624,0.0007624
26,54967.8,1.5217,2.29454,1.87657,0.25695,0.29356,0.21448,0.10599,0.87383,5.63735,0.97309,0.0007525,0.0007525,0.0007525
27,57009.1,1.52231,2.2895,1.8815,0.25682,0.2971,0.21506,0.10632,0.87174,5.56424,0.97218,0.0007426,0.0007426,0.0007426
28,58994.4,1.51019,2.27649,1.87543,0.2619,0.29687,0.21658,0.10747,0.87072,5.57273,0.97165,0.0007327,0.0007327,0.0007327
29,61004.8,1.51009,2.28347,1.8701,0.2661,0.29618,0.21775,0.10763,0.87092,5.54731,0.97251,0.0007228,0.0007228,0.0007228
30,62993.8,1.50913,2.27014,1.86984,0.26597,0.29894,0.21815,0.10864,0.866,5.53019,0.96931,0.0007129,0.0007129,0.0007129
31,64951.8,1.50503,2.26713,1.86142,0.26279,0.29825,0.21826,0.10861,0.86239,5.57548,0.96571,0.000703,0.000703,0.000703
32,67175.9,1.49112,2.26717,1.85725,0.26488,0.29866,0.21893,0.10914,0.85863,5.62111,0.96389,0.0006931,0.0006931,0.0006931
33,69202.4,1.4908,2.26991,1.85608,0.2667,0.30147,0.21997,0.10951,0.85749,5.62238,0.96351,0.0006832,0.0006832,0.0006832
34,71379.4,1.48813,2.242,1.85707,0.26781,0.30216,0.22039,0.11013,0.85434,5.62154,0.9612,0.0006733,0.0006733,0.0006733
35,73442.1,1.48365,2.24109,1.85171,0.26841,0.30444,0.22142,0.11069,0.85228,5.64005,0.95925,0.0006634,0.0006634,0.0006634
36,75561.9,1.47533,2.21872,1.84427,0.26849,0.30631,0.22165,0.11091,0.85105,5.63314,0.95843,0.0006535,0.0006535,0.0006535
37,77513.8,1.48552,2.22962,1.8464,0.27011,0.30769,0.22231,0.11176,0.85044,5.62352,0.95796,0.0006436,0.0006436,0.0006436
38,79484,1.47143,2.22658,1.83373,0.27116,0.30889,0.22387,0.11248,0.84973,5.6064,0.9571,0.0006337,0.0006337,0.0006337
39,81689.3,1.47255,2.21889,1.8375,0.27054,0.31023,0.22479,0.11277,0.84906,5.60645,0.95678,0.0006238,0.0006238,0.0006238
40,83798,1.46784,2.20218,1.8329,0.27127,0.30701,0.22455,0.11282,0.84923,5.61197,0.9575,0.0006139,0.0006139,0.0006139
41,85896.6,1.46574,2.21315,1.8331,0.27279,0.30493,0.22516,0.11337,0.84889,5.62921,0.95795,0.000604,0.000604,0.000604
42,88007.3,1.4671,2.22036,1.83704,0.27174,0.30539,0.22528,0.11352,0.84851,5.62347,0.95873,0.0005941,0.0005941,0.0005941
43,90064.6,1.45861,2.21195,1.82938,0.27251,0.30631,0.22643,0.11392,0.84804,5.60734,0.95905,0.0005842,0.0005842,0.0005842
44,92101.1,1.45684,2.20619,1.82688,0.27323,0.307,0.22732,0.11468,0.84718,5.60199,0.95978,0.0005743,0.0005743,0.0005743
45,94149.9,1.45611,2.20221,1.82401,0.27395,0.30677,0.22754,0.11507,0.84751,5.58885,0.9615,0.0005644,0.0005644,0.0005644
46,96274.7,1.44381,2.18739,1.82026,0.27604,0.30884,0.22914,0.11578,0.8466,5.58854,0.96114,0.0005545,0.0005545,0.0005545
47,98367.5,1.44243,2.19101,1.81639,0.2743,0.31161,0.22962,0.11618,0.84606,5.56831,0.96111,0.0005446,0.0005446,0.0005446
48,100440,1.43914,2.16931,1.81118,0.27585,0.31189,0.23,0.11667,0.84582,5.55806,0.96109,0.0005347,0.0005347,0.0005347
49,102420,1.44293,2.17499,1.81404,0.27678,0.31276,0.23059,0.11733,0.84488,5.54767,0.96057,0.0005248,0.0005248,0.0005248
50,104431,1.43038,2.19037,1.80205,0.27675,0.31046,0.23026,0.11744,0.84348,5.5271,0.95952,0.0005149,0.0005149,0.0005149
51,106482,1.43403,2.17914,1.79901,0.27392,0.31345,0.23068,0.11773,0.84297,5.51416,0.95955,0.000505,0.000505,0.000505
52,108477,1.42794,2.16472,1.80228,0.27572,0.31437,0.23111,0.11791,0.84215,5.51939,0.95951,0.0004951,0.0004951,0.0004951
53,110582,1.42921,2.17041,1.80013,0.27738,0.31092,0.2321,0.11861,0.84114,5.51604,0.95888,0.0004852,0.0004852,0.0004852
54,112660,1.42266,2.15121,1.79895,0.27833,0.31138,0.23289,0.11901,0.84043,5.51497,0.9587,0.0004753,0.0004753,0.0004753
55,114783,1.42282,2.15746,1.79703,0.27919,0.3123,0.23326,0.11947,0.83953,5.52037,0.95842,0.0004654,0.0004654,0.0004654
56,116835,1.41682,2.15844,1.78965,0.28045,0.30907,0.23322,0.11969,0.83819,5.52379,0.95773,0.0004555,0.0004555,0.0004555
57,118701,1.41875,2.15226,1.80011,0.28034,0.30907,0.23429,0.12007,0.83705,5.54045,0.95741,0.0004456,0.0004456,0.0004456
58,120638,1.42066,2.1465,1.79519,0.28331,0.30769,0.23445,0.12045,0.83595,5.54519,0.95696,0.0004357,0.0004357,0.0004357
59,122654,1.41101,2.12974,1.78919,0.28235,0.30792,0.23555,0.12093,0.83481,5.5576,0.95657,0.0004258,0.0004258,0.0004258
60,124685,1.40853,2.14336,1.78178,0.28418,0.31,0.23612,0.12155,0.83362,5.56239,0.95599,0.0004159,0.0004159,0.0004159
61,126821,1.40716,2.1354,1.77696,0.28359,0.31,0.23626,0.12199,0.83256,5.5687,0.95538,0.000406,0.000406,0.000406
62,128942,1.4036,2.13336,1.7784,0.28298,0.31138,0.23703,0.12248,0.83173,5.58167,0.95501,0.0003961,0.0003961,0.0003961
63,131113,1.39683,2.15523,1.76867,0.28304,0.31138,0.23744,0.1227,0.8307,5.57503,0.9549,0.0003862,0.0003862,0.0003862
64,133141,1.40555,2.13152,1.77974,0.28527,0.30923,0.23744,0.12305,0.82981,5.5783,0.95455,0.0003763,0.0003763,0.0003763
65,135198,1.39584,2.13298,1.7735,0.28505,0.30907,0.23815,0.12332,0.82879,5.58702,0.95431,0.0003664,0.0003664,0.0003664
66,137220,1.397,2.12894,1.77793,0.28436,0.31299,0.23891,0.12379,0.82792,5.59496,0.95445,0.0003565,0.0003565,0.0003565
